,Date,Travel Product,Sessions - This Year,Bookings - This Year,Revenue - This Year,Spend - This Year,Day of Month,Day of Week,Week,Month,Quarter,Year,Sessions - Last Year,Bookings - Last Year,Revenue - Last Year,Spend - Last Year,Category,Birst Category,GA Category
53,2019-01-17,Targaryen Comparestrip Panel Flight,2913,95,0.0,4660,17,3,3,1,1,2019,1652,93,0.0,3876,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
54,2017-01-20,Targaryen Comparestrip Panel Flight,2119,97,0.0,1915,20,4,3,1,1,2017,3963,85,0.0,1664,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
55,2018-01-19,Targaryen Comparestrip Panel Flight,3520,120,0.0,1397,19,4,3,1,1,2018,4690,79,0.0,2206,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
56,2019-01-18,Targaryen Comparestrip Panel Flight,3975,59,0.0,1948,18,4,3,1,1,2019,2676,78,0.0,3719,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
57,2017-01-21,Targaryen Comparestrip Panel Flight,3882,99,0.0,3518,21,5,3,1,1,2017,2988,86,0.0,3984,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
58,2018-01-20,Targaryen Comparestrip Panel Flight,3753,77,0.0,4460,20,5,3,1,1,2018,3355,71,0.0,1844,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
59,2019-01-19,Targaryen Comparestrip Panel Flight,3865,92,0.0,3412,19,5,3,1,1,2019,3646,115,0.0,1707,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
60,2017-01-15,Targaryen Comparestrip Panel Flight,3772,85,0.0,2401,15,6,3,1,1,2017,2676,91,0.0,2260,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
61,2018-01-14,Targaryen Comparestrip Panel Flight,4395,128,0.0,3368,14,6,3,1,1,2018,3196,73,0.0,2892,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
62,2019-01-13,Targaryen Comparestrip Panel Flight,2927,93,0.0,3105,13,6,3,1,1,2019,3679,89,0.0,4093,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
63,2017-01-23,Targaryen Comparestrip Panel Flight,2730,40,0.0,3129,23,0,4,1,1,2017,2893,75,0.0,3953,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
64,2018-01-22,Targaryen Comparestrip Panel Flight,2430,108,0.0,4539,22,0,4,1,1,2018,2250,83,0.0,4608,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
65,2019-01-21,Targaryen Comparestrip Panel Flight,2854,120,5599.4,2571,21,0,4,1,1,2019,3151,51,0.0,2989,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
66,2017-01-24,Targaryen Comparestrip Panel Flight,3652,44,0.0,2201,24,1,4,1,1,2017,4982,94,0.0,3947,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
67,2018-01-23,Targaryen Comparestrip Panel Flight,4904,128,0.0,2472,23,1,4,1,1,2018,3153,45,0.0,2556,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
68,2019-01-22,Targaryen Comparestrip Panel Flight,3828,68,1989.24,2113,22,1,4,1,1,2019,4913,91,0.0,522,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
69,2017-01-25,Targaryen Comparestrip Panel Flight,3633,93,0.0,3105,25,2,4,1,1,2017,4647,101,0.0,2226,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
70,2018-01-24,Targaryen Comparestrip Panel Flight,2328,77,0.0,2343,24,2,4,1,1,2018,3408,57,0.0,3251,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
71,2019-01-23,Targaryen Comparestrip Panel Flight,4662,82,0.0,3074,23,2,4,1,1,2019,1756,58,0.0,3769,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
72,2017-01-26,Targaryen Comparestrip Panel Flight,3640,101,0.0,3211,26,3,4,1,1,2017,4169,102,0.0,3285,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
73,2018-01-25,Targaryen Comparestrip Panel Flight,3927,84,0.0,3349,25,3,4,1,1,2018,4930,126,0.0,1785,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
74,2019-01-24,Targaryen Comparestrip Panel Flight,3873,111,0.0,1215,24,3,4,1,1,2019,3392,89,0.0,2067,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
75,2017-01-27,Targaryen Comparestrip Panel Flight,3164,57,0.0,2258,27,4,4,1,1,2017,1941,73,0.0,3469,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
76,2018-01-26,Targaryen Comparestrip Panel Flight,3553,76,0.0,4411,26,4,4,1,1,2018,4762,99,0.0,3887,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
77,2019-01-25,Targaryen Comparestrip Panel Flight,3760,96,0.0,3306,25,4,4,1,1,2019,3368,120,0.0,3465,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
78,2017-01-28,Targaryen Comparestrip Panel Flight,2540,81,0.0,3827,28,5,4,1,1,2017,3009,77,0.0,3313,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
79,2018-01-27,Targaryen Comparestrip Panel Flight,3604,91,0.0,3289,27,5,4,1,1,2018,4301,106,0.0,1977,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
80,2019-01-26,Targaryen Comparestrip Panel Flight,2982,58,0.0,4152,26,5,4,1,1,2019,3413,90,0.0,2866,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
81,2017-01-22,Targaryen Comparestrip Panel Flight,3049,90,0.0,2855,22,6,4,1,1,2017,3584,84,0.0,4573,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
82,2018-01-21,Targaryen Comparestrip Panel Flight,3621,107,0.0,4481,21,6,4,1,1,2018,3349,75,0.0,4838,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
83,2019-01-20,Targaryen Comparestrip Panel Flight,3636,80,0.0,2978,20,6,4,1,1,2019,3231,98,0.0,3168,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
84,2017-01-30,Targaryen Comparestrip Panel Flight,2122,84,0.0,2929,30,0,5,1,1,2017,2555,94,0.0,1148,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
85,2018-01-29,Targaryen Comparestrip Panel Flight,3323,84,0.0,2725,29,0,5,1,1,2018,3261,75,0.0,3698,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
86,2019-01-28,Targaryen Comparestrip Panel Flight,3547,75,0.0,2820,28,0,5,1,1,2019,2666,62,0.0,4504,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
87,2017-01-31,Targaryen Comparestrip Panel Flight,2662,100,0.0,4263,31,1,5,1,1,2017,1675,99,0.0,3054,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
88,2018-01-30,Targaryen Comparestrip Panel Flight,1972,105,0.0,4111,30,1,5,1,1,2018,2428,85,0.0,2207,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
89,2019-01-29,Targaryen Comparestrip Panel Flight,5658,90,0.0,3316,29,1,5,1,1,2019,2957,58,0.0,4256,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
90,2017-02-01,Targaryen Comparestrip Panel Flight,5177,100,0.0,2618,1,2,5,2,1,2017,4047,93,0.0,1605,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
91,2018-01-31,Targaryen Comparestrip Panel Flight,3569,99,0.0,1920,31,2,5,1,1,2018,3011,75,0.0,3406,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
92,2019-01-30,Targaryen Comparestrip Panel Flight,5128,118,2118.0,2831,30,2,5,1,1,2019,3306,64,0.0,2708,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
93,2017-02-02,Targaryen Comparestrip Panel Flight,2906,89,0.0,2651,2,3,5,2,1,2017,4273,89,0.0,3948,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
94,2018-02-01,Targaryen Comparestrip Panel Flight,2721,97,0.0,1843,1,3,5,2,1,2018,2410,69,0.0,2596,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
95,2019-01-31,Targaryen Comparestrip Panel Flight,4823,59,0.0,3479,31,3,5,1,1,2019,3580,85,0.0,3454,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
96,2017-02-03,Targaryen Comparestrip Panel Flight,3357,83,0.0,2546,3,4,5,2,1,2017,3634,61,0.0,3435,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
97,2018-02-02,Targaryen Comparestrip Panel Flight,3221,74,0.0,5016,2,4,5,2,1,2018,2461,118,0.0,3295,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
98,2019-02-01,Targaryen Comparestrip Panel Flight,3094,103,2849.92,3015,1,4,5,2,1,2019,3743,120,0.0,1742,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
99,2017-02-04,Targaryen Comparestrip Panel Flight,2342,94,0.0,3841,4,5,5,2,1,2017,4666,133,0.0,3477,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
100,2018-02-03,Targaryen Comparestrip Panel Flight,2825,58,0.0,3539,3,5,5,2,1,2018,2354,50,0.0,827,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
101,2019-02-02,Targaryen Comparestrip Panel Flight,4762,69,0.0,2713,2,5,5,2,1,2019,2416,68,0.0,1364,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
102,2017-01-29,Targaryen Comparestrip Panel Flight,2609,85,0.0,3353,29,6,5,1,1,2017,3723,123,0.0,2554,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
103,2018-01-28,Targaryen Comparestrip Panel Flight,3083,85,0.0,2794,28,6,5,1,1,2018,4186,75,0.0,3420,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
104,2019-01-27,Targaryen Comparestrip Panel Flight,4220,93,0.0,2980,27,6,5,1,1,2019,3486,70,0.0,2699,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
105,2017-02-06,Targaryen Comparestrip Panel Flight,2100,93,0.0,5318,6,0,6,2,1,2017,2199,118,0.0,3778,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
106,2018-02-05,Targaryen Comparestrip Panel Flight,3050,53,0.0,3706,5,0,6,2,1,2018,2400,84,0.0,979,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
107,2019-02-04,Targaryen Comparestrip Panel Flight,4144,100,2603.06,2821,4,0,6,2,1,2019,2947,73,0.0,3159,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
108,2017-02-07,Targaryen Comparestrip Panel Flight,4880,71,0.0,1998,7,1,6,2,1,2017,3326,103,0.0,2342,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
109,2018-02-06,Targaryen Comparestrip Panel Flight,4600,81,0.0,4110,6,1,6,2,1,2018,3423,69,0.0,3438,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
110,2019-02-05,Targaryen Comparestrip Panel Flight,3442,79,0.0,3346,5,1,6,2,1,2019,4632,90,0.0,4431,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
111,2017-02-08,Targaryen Comparestrip Panel Flight,3882,110,0.0,2529,8,2,6,2,1,2017,1727,66,0.0,1824,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
112,2018-02-07,Targaryen Comparestrip Panel Flight,4424,93,0.0,1465,7,2,6,2,1,2018,4250,78,0.0,3273,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
113,2019-02-06,Targaryen Comparestrip Panel Flight,3171,42,0.0,2575,6,2,6,2,1,2019,2751,79,0.0,1277,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
114,2017-02-09,Targaryen Comparestrip Panel Flight,2703,92,0.0,1154,9,3,6,2,1,2017,1597,100,0.0,4258,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
115,2018-02-08,Targaryen Comparestrip Panel Flight,1898,113,0.0,4191,8,3,6,2,1,2018,4784,55,0.0,4309,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
116,2019-02-07,Targaryen Comparestrip Panel Flight,3774,83,0.0,4379,7,3,6,2,1,2019,2850,91,0.0,3054,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
117,2017-02-10,Targaryen Comparestrip Panel Flight,3194,82,0.0,4304,10,4,6,2,1,2017,4011,72,0.0,1744,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
118,2018-02-09,Targaryen Comparestrip Panel Flight,3372,100,0.0,3318,9,4,6,2,1,2018,3531,97,0.0,2354,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
119,2019-02-08,Targaryen Comparestrip Panel Flight,3782,120,1933.06,3354,8,4,6,2,1,2019,3368,49,0.0,3049,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
120,2017-02-11,Targaryen Comparestrip Panel Flight,1663,112,0.0,2561,11,5,6,2,1,2017,2348,91,0.0,3428,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
121,2018-02-10,Targaryen Comparestrip Panel Flight,4356,82,0.0,3628,10,5,6,2,1,2018,2187,68,0.0,3778,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
122,2019-02-09,Targaryen Comparestrip Panel Flight,3775,77,5353.29,2455,9,5,6,2,1,2019,3544,77,0.0,3734,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
123,2017-02-05,Targaryen Comparestrip Panel Flight,3225,111,0.0,1927,5,6,6,2,1,2017,2232,87,0.0,2181,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
124,2018-02-04,Targaryen Comparestrip Panel Flight,3920,88,0.0,3083,4,6,6,2,1,2018,4097,92,0.0,1325,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
125,2019-02-03,Targaryen Comparestrip Panel Flight,3401,71,4936.49,3137,3,6,6,2,1,2019,4076,109,0.0,2691,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
126,2017-02-13,Targaryen Comparestrip Panel Flight,3136,78,0.0,1654,13,0,7,2,1,2017,2256,121,0.0,3589,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
127,2018-02-12,Targaryen Comparestrip Panel Flight,4228,72,0.0,2033,12,0,7,2,1,2018,3290,83,0.0,2536,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
128,2019-02-11,Targaryen Comparestrip Panel Flight,4892,78,2327.92,4161,11,0,7,2,1,2019,2829,89,0.0,3186,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
129,2017-02-14,Targaryen Comparestrip Panel Flight,2921,99,0.0,2284,14,1,7,2,1,2017,2915,97,0.0,4837,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
130,2018-02-13,Targaryen Comparestrip Panel Flight,3580,98,0.0,1380,13,1,7,2,1,2018,3048,77,0.0,3214,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
131,2019-02-12,Targaryen Comparestrip Panel Flight,4554,53,0.0,2858,12,1,7,2,1,2019,3020,107,0.0,2889,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
132,2017-02-15,Targaryen Comparestrip Panel Flight,2666,57,0.0,2318,15,2,7,2,1,2017,3629,75,0.0,3226,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
133,2018-02-14,Targaryen Comparestrip Panel Flight,1514,91,0.0,2238,14,2,7,2,1,2018,4531,77,0.0,3872,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
134,2019-02-13,Targaryen Comparestrip Panel Flight,2957,76,3349.44,4073,13,2,7,2,1,2019,2518,97,0.0,1722,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
135,2017-02-16,Targaryen Comparestrip Panel Flight,3521,80,0.0,2578,16,3,7,2,1,2017,2164,102,0.0,2560,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
136,2018-02-15,Targaryen Comparestrip Panel Flight,3643,98,0.0,1903,15,3,7,2,1,2018,3363,129,0.0,2350,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
137,2019-02-14,Targaryen Comparestrip Panel Flight,4462,95,3071.93,3989,14,3,7,2,1,2019,3741,60,0.0,1926,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
138,2017-02-17,Targaryen Comparestrip Panel Flight,3137,131,0.0,4235,17,4,7,2,1,2017,3291,102,0.0,2043,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
139,2018-02-16,Targaryen Comparestrip Panel Flight,2458,76,0.0,1718,16,4,7,2,1,2018,3128,73,0.0,1309,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
140,2019-02-15,Targaryen Comparestrip Panel Flight,3839,93,0.0,2912,15,4,7,2,1,2019,3994,113,0.0,1410,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
141,2017-02-18,Targaryen Comparestrip Panel Flight,3398,109,0.0,2767,18,5,7,2,1,2017,5016,102,0.0,2751,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
142,2018-02-17,Targaryen Comparestrip Panel Flight,4556,103,0.0,4034,17,5,7,2,1,2018,2994,62,0.0,2627,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
143,2019-02-16,Targaryen Comparestrip Panel Flight,2746,83,0.0,2436,16,5,7,2,1,2019,3661,104,0.0,2788,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
